Number of agents: 2
Episode 100	Average Score: 0.00
Episode 200	Average Score: 0.01
Episode 300	Average Score: 0.02
Episode 400	Average Score: 0.04
Episode 500	Average Score: 0.05
Episode 600	Average Score: 0.05
Episode 700	Average Score: 0.07
Episode 800	Average Score: 0.07
Episode 900	Average Score: 0.10
Episode 1000	Average Score: 0.13
Episode 1100	Average Score: 0.20
Episode 1160	Average Score: 0.50	Score: 0.80
Environment solved in 1060 episodes!	Average Score: 0.50
Episode 1200	Average Score: 1.28
Episode 1300	Average Score: 1.88
Episode 1400	Average Score: 1.89
Episode 1500	Average Score: 2.07
Episode 1600	Average Score: 2.04
